Alpha,Beta,SumResidualSquare,Method
0.35000000000000003,3.0E-11,5573.797230275554,4thOrderRungeKutta
0.36,3.0E-11,5033.077186729316,4thOrderRungeKutta
0.24000000000000002,3.0E-11,19722.74040423535,4thOrderRungeKutta
0.269,4.0E-11,13650.124552576803,4thOrderRungeKutta
0.27,4.0E-11,13488.288430766626,4thOrderRungeKutta
0.339,4.0E-11,6179.375217083289,4thOrderRungeKutta
0.34,4.0E-11,6114.263574178726,4thOrderRungeKutta
0.299,4.0E-11,9612.344145670268,4thOrderRungeKutta
0.249,4.0E-11,17385.910510531903,4thOrderRungeKutta
0.20900000000000002,4.9999999999999995E-11,28325.260134958484,4thOrderRungeKutta
0.3,4.0E-11,9503.117261376083,4thOrderRungeKutta
0.259,4.9999999999999995E-11,15170.72905788752,4thOrderRungeKutta
0.219,4.9999999999999995E-11,24911.425101139732,4thOrderRungeKutta
0.25,4.0E-11,17174.242065776365,4thOrderRungeKutta
0.21000000000000002,4.9999999999999995E-11,27961.374771423696,4thOrderRungeKutta
0.26,4.9999999999999995E-11,14988.87128563091,4thOrderRungeKutta
0.28900000000000003,4.0E-11,10786.393813214734,4thOrderRungeKutta
0.319,4.9999999999999995E-11,7576.804400402191,4thOrderRungeKutta
0.22,4.9999999999999995E-11,24596.105645736687,4thOrderRungeKutta
0.309,4.0E-11,8581.243625362935,4thOrderRungeKutta
0.279,4.0E-11,12124.201023748596,4thOrderRungeKutta
0.29000000000000004,4.0E-11,10661.988833972375,4thOrderRungeKutta
0.32,4.9999999999999995E-11,7493.778840726172,4thOrderRungeKutta
0.31,4.0E-11,8485.286044746887,4thOrderRungeKutta
0.23700000000000002,3.0E-11,20474.161961796734,4thOrderRungeKutta
0.329,4.0E-11,6879.043897686253,4thOrderRungeKutta
0.28,4.0E-11,11982.387796629378,4thOrderRungeKutta
0.34900000000000003,4.0E-11,5564.801989911214,4thOrderRungeKutta
0.23800000000000002,3.0E-11,20220.211021790066,4thOrderRungeKutta
0.33,4.0E-11,6804.934471189019,4thOrderRungeKutta
0.359,4.0E-11,5025.39033614127,4thOrderRungeKutta
0.23900000000000002,4.0E-11,19669.453095217268,4thOrderRungeKutta
0.35000000000000003,4.0E-11,5507.630615600452,4thOrderRungeKutta
0.36,4.0E-11,4975.240163274865,4thOrderRungeKutta
0.24000000000000002,4.0E-11,19426.743481884438,4thOrderRungeKutta
0.269,4.9999999999999995E-11,13456.842106912261,4thOrderRungeKutta
0.27,4.9999999999999995E-11,13297.651267957632,4thOrderRungeKutta
0.339,4.9999999999999995E-11,6103.936890017377,4thOrderRungeKutta
0.299,4.9999999999999995E-11,9483.748373847508,4thOrderRungeKutta
0.34,4.9999999999999995E-11,6039.824715429861,4thOrderRungeKutta
0.249,4.9999999999999995E-11,17130.318519961475,4thOrderRungeKutta
0.329,4.9999999999999995E-11,6792.858922374845,4thOrderRungeKutta
0.259,6.0E-11,14952.517312615644,4thOrderRungeKutta
0.20900000000000002,6.0E-11,27874.44710384559,4thOrderRungeKutta
0.3,4.9999999999999995E-11,9376.234917026819,4thOrderRungeKutta
0.219,6.0E-11,24523.60252352649,4thOrderRungeKutta
0.33,4.9999999999999995E-11,6719.888808805106,4thOrderRungeKutta
0.25,4.9999999999999995E-11,16922.244088026368,4thOrderRungeKutta
0.26,6.0E-11,14773.676262259276,4thOrderRungeKutta
0.28900000000000003,4.9999999999999995E-11,10639.265034272732,4thOrderRungeKutta
0.23900000000000002,4.9999999999999995E-11,19374.609680880847,4thOrderRungeKutta
0.319,6.0E-11,7479.9178833236365,4thOrderRungeKutta
0.21000000000000002,6.0E-11,27517.35898770586,4thOrderRungeKutta
0.22,6.0E-11,24214.011960738393,4thOrderRungeKutta
0.279,4.9999999999999995E-11,11955.682990590178,4thOrderRungeKutta
0.309,4.9999999999999995E-11,8468.75435300963,4thOrderRungeKutta
0.29000000000000004,4.9999999999999995E-11,10516.834159088188,4thOrderRungeKutta
